,initial_angle,arc_length,incidence angle,distance from mirror
7444,0.1488948894889489,0.0017827689409915263,-0.002136921502870148,-1.4020069507030506e-06
7445,0.1489148914891489,0.0017832430526986296,-0.0021377988332619076,-1.403020506157332e-06
7446,0.14893489348934894,0.0017837172624800084,-0.0021386764104265096,-1.4040346874303605e-06
7447,0.14895489548954896,0.0017841915703523208,-0.002139554234405874,-1.4050494948469782e-06
7448,0.148974897489749,0.0017846659763298806,-0.002140432305236063,-1.4060649287271441e-06
7449,0.148994899489949,0.0017851404804300293,-0.002141310622960715,-1.407080989397431e-06
7450,0.149014901490149,0.001785615082666844,-0.0021421891876153,-1.4080976771775538e-06
7451,0.14903490349034904,0.0017860897830570834,-0.002143067999241983,-1.4091149923931035e-06
7452,0.14905490549054906,0.0017865645816156747,-0.0021439470578783655,-1.4101329353658801e-06
7453,0.1490749074907491,0.0017870394783569474,-0.0021448263635605275,-1.4111515064165308e-06
7454,0.1490949094909491,0.0017875144732984773,-0.002145705916332705,-1.4121707058727996e-06
7455,0.1491149114911491,0.0017879895664576356,-0.0021465857162386455,-1.4131905340621316e-06
7456,0.14913491349134914,0.001788464757845301,-0.0021474657633057414,-1.4142109912981608e-06
7457,0.14915491549154916,0.0017889400474827553,-0.002148346057587553,-1.4152320779169977e-06
7458,0.1491749174917492,0.0017894154353809415,-0.002149226599111659,-1.4162537942326755e-06
7459,0.1491949194919492,0.0017898909215562232,-0.002150107387919258,-1.4172761405710019e-06
7460,0.1492149214921492,0.0017903665060275001,-0.002150988424057913,-1.4182991172633804e-06
7461,0.14923492349234924,0.001790842188806185,-0.002151869707556379,-1.4193227246252386e-06
7462,0.14925492549254926,0.0017913179699094823,-0.0021527512384579635,-1.4203469629845967e-06
7463,0.1492749274927493,0.001791793849353761,-0.002153633016803884,-1.4213718326678134e-06
7464,0.1492949294929493,0.0017922698271555359,-0.00215451504263571,-1.4223973340016979e-06
7465,0.1493149314931493,0.0017927459033290159,-0.0021553973159892273,-1.4234234673082231e-06
7466,0.14933493349334934,0.0017932220778906951,-0.002156279836905958,-1.4244502329144195e-06
7467,0.14935493549354936,0.001793698350856011,-0.002157162605424767,-1.4254776311451734e-06
7468,0.1493749374937494,0.0017941747222389394,-0.0021580456215808605,-1.4265056623223484e-06
7469,0.1493949394939494,0.0017946511920568092,-0.0021589288854178476,-1.4275343267751773e-06
7470,0.1494149414941494,0.0017951277603253388,-0.0021598123969753125,-1.4285636248295525e-06
7471,0.14943494349434944,0.001795604427060923,-0.002160696156294533,-1.4295935568129625e-06
7472,0.14945494549454946,0.0017960811922760158,-0.0021615801634068637,-1.4306241230445097e-06
7473,0.1494749474947495,0.001796558055990899,-0.0021624644183633667,-1.431655323860353e-06
7474,0.1494949494949495,0.0017970350182172359,-0.0021633489211934144,-1.432687159578149e-06
7475,0.1495149514951495,0.001797512078973151,-0.002164233671942631,-1.4337196305296628e-06
7476,0.14953495349534954,0.0017979892382734332,-0.0021651186706482554,-1.434752737039577e-06
7477,0.14955495549554956,0.001798466496132727,-0.002166003917347164,-1.4357864794323922e-06
7478,0.1495749574957496,0.0017989438525673866,-0.002166889412080541,-1.4368208580364445e-06
7479,0.1495949594959496,0.0017994213075936648,-0.002167775154889282,-1.437855873179987e-06
7480,0.1496149614961496,0.001799898861228212,-0.0021686611458153265,-1.4388915251922728e-06
7481,0.14963496349634964,0.0018003765134852094,-0.0021695473848943707,-1.4399278143973303e-06
7482,0.14965496549654966,0.0018008542643819568,-0.0021704338721699706,-1.4409647411260905e-06
7483,0.1496749674967497,0.0018013321139301194,-0.0021713206076715112,-1.4420023056973823e-06
7484,0.1496949694969497,0.0018018100621503468,-0.0021722075914509717,-1.4430405084496809e-06
7485,0.1497149714971497,0.0018022881090544226,-0.0021730948235380238,-1.4440793497023364e-06
7486,0.14973497349734974,0.0018027662546600029,-0.0021739823039771153,-1.4451188297875924e-06
7487,0.14975497549754976,0.0018032444989828842,-0.002174870032808025,-1.4461589490337874e-06
7488,0.1497749774977498,0.001803722842038109,-0.0021757580100686255,-1.4471997077677534e-06
7489,0.1497949794979498,0.001804201283841542,-0.002176646235798861,-1.4482411063182445e-06
7490,0.1498149814981498,0.001804679824408789,-0.0021775347100380137,-1.4492831450135864e-06
7491,0.14983498349834984,0.0018051584637553942,-0.0021784234328252354,-1.4503258241821032e-06
7492,0.14985498549854986,0.0018056372018974195,-0.0021793124042009614,-1.4513691441533831e-06
7493,0.1498749874987499,0.0018061160388519993,-0.0021802016242083184,-1.4524131052594888e-06
7494,0.1498949894989499,0.001806594974631957,-0.0021810910928796094,-1.4534577078232164e-06
7495,0.1499149914991499,0.0018070740092539545,-0.002181980810256791,-1.4545029521758632e-06
7496,0.14993499349934994,0.0018075531427338472,-0.002182870776379767,-1.4555488386471065e-06
7497,0.14995499549954996,0.0018080323750872976,-0.0021837609912879765,-1.4565953675663345e-06
7498,0.14997499749975,0.0018085117063319598,-0.002184651455025861,-1.4576425392674253e-06
7499,0.14999499949995,0.0018089911364803175,-0.0021855421676248727,-1.4586903540730918e-06
7500,0.15001500150015,0.001809470665549992,-0.002186433129129365,-1.4597388123174084e-06
7501,0.15003500350035004,0.001809950293555693,-0.0021873243395763736,-1.4607879143282209e-06
7502,0.15005500550055006,0.001810430020514632,-0.002188215799009232,-1.4618376604389813e-06
7503,0.1500750075007501,0.0018109098464409706,-0.0021891075074635963,-1.4628880509766047e-06
7504,0.1500950095009501,0.001811389771351232,-0.002189999464981077,-1.4639390862733083e-06
7505,0.15011501150115011,0.0018118697952599775,-0.002190891671598326,-1.4649907666571467e-06
7506,0.15013501350135014,0.0018123499181852474,-0.00219178412736077,-1.4660430924639355e-06
7507,0.15015501550155017,0.0018128301401418153,-0.0021926768323055953,-1.467096064022466e-06
7508,0.1501750175017502,0.0018133104611415957,-0.002193569786462825,-1.468149681655388e-06
7509,0.1501950195019502,0.0018137908812064483,-0.0021944629898874705,-1.4692039457073063e-06
7510,0.15021502150215021,0.001814271400348429,-0.002195356442609894,-1.4702588565014509e-06
7511,0.15023502350235024,0.0018147520185835247,-0.0021962501446703563,-1.471314414369811e-06
7512,0.15025502550255027,0.0018152327359281148,-0.0021971440961100885,-1.472370619645375e-06
7513,0.1502750275027503,0.0018157135523981405,-0.0021980382969692277,-1.4734274726603052e-06
7514,0.1502950295029503,0.0018161944680092402,-0.0021989327472871504,-1.4744849737462342e-06
7515,0.15031503150315031,0.0018166754827762556,-0.0021998274471012242,-1.4755431232331758e-06
7516,0.15033503350335034,0.0018171565967164882,-0.0022007223964550064,-1.4766019214566923e-06
7517,0.15035503550355037,0.0018176378098422937,-0.0022016175953796157,-1.4776613687415933e-06
7518,0.1503750375037504,0.0018181191221735746,-0.0022025130439251527,-1.4787214654294414e-06
7519,0.1503950395039504,0.001818600533723599,-0.002203408742125029,-1.4797822118473251e-06
7520,0.15041504150415042,0.0018190820445099039,-0.0022043046900233933,-1.480843608331874e-06
7521,0.15043504350435044,0.001819563654545624,-0.002205200887653323,-1.481905655210147e-06
7522,0.15045504550455047,0.001820045363847237,-0.002206097335056309,-1.482968352816707e-06
