,initial angle,arc_length,incidence angle,distance from mirror
689,0.0006890689068906891,1.081778028765888e-05,0.007789873766032454,4.219429726270207e-08
690,0.0006900690069006901,1.0833478423031417e-05,0.0078011795143844796,4.2316761234784345e-08
691,0.0006910691069106911,1.084917654696831e-05,0.007812485261228952,4.243940259667027e-08
692,0.0006920692069206921,1.086487465938039e-05,0.007823791006756089,4.256222134738294e-08
693,0.0006930693069306931,1.0880572761837729e-05,0.0078350967511809,4.2685217498946135e-08
694,0.0006940694069406941,1.0896270851809045e-05,0.007846402493932874,4.2808391031247056e-08
695,0.0006950695069506951,1.0911968930917956e-05,0.007857708235431892,4.293174195674162e-08
696,0.0006960696069606961,1.0927666999958902e-05,0.00786901397584252,4.305527028141856e-08
697,0.0006970697069706971,1.0943365055183528e-05,0.007880319714198022,4.3178975975479744e-08
698,0.0006980698069806981,1.0959063102207136e-05,0.007891625452119286,4.330285908291981e-08
699,0.0006990699069906991,1.0974761135406464e-05,0.007902931187867437,4.342691955907896e-08
700,0.0007000700070007,1.0990459158374131e-05,0.007914236922665267,4.355115743206253e-08
701,0.0007010701070107011,1.1006157170426553e-05,0.007925542656064053,4.367557269619941e-08
702,0.0007020702070207021,1.1021855169957612e-05,0.00793684838787578,4.3800165338470374e-08
703,0.0007030703070307031,1.1037553159440909e-05,0.007948154118716189,4.39249353782376e-08
704,0.0007040704070407041,1.1053251136415658e-05,0.007959459847655006,4.404988279565753e-08
705,0.000705070507050705,1.1068949102424488e-05,0.00797076557548569,4.4175007602725864e-08
706,0.0007060706070607061,1.1084647057761463e-05,0.00798207130216757,4.430030980152383e-08
707,0.0007070707070707071,1.110034500066976e-05,0.007993377027016512,4.442578937773843e-08
708,0.0007080708070807081,1.1116042932967941e-05,0.008004682750866732,4.455144634562996e-08
709,0.0007090709070907091,1.1131740853645522e-05,0.008015988473318568,4.46772806968365e-08
710,0.00071007100710071,1.114743876213222e-05,0.008027294194094344,4.480329242649119e-08
711,0.0007110711071107111,1.1163136659863177e-05,0.008038599913647167,4.492948154583571e-08
